1 24
2 24
3 24
4 23
5 0
6 100
7 23
8 99
9 99
10 100
11 99
12 99
13 100
14 110
15 100
16 100
17 100
18 99
19 100
20 100
21 99
22 100
23 100
24 110
25 100
26 100
27 100
28 99
29 100
30 100
31 100
32 100
33 120
34 110
35 100
36 100
37 100
38 99
39 100
40 100
41 100
42 100
43 120
44 110
45 100
46 100
47 100
48 99
49 100
50 1000
51 99
52 100
53 120
54 110
55 100
56 100
57 99
58 99
59 110
60 100
61 100
62 100
63 120
64 110
65 100
66 100
67 100
68 99
69 100
70 100
71 100
72 100
73 120
74 110
75 100
76 100
77 100
78 99
79 0
80 100
81 100
82 100
83 120
84 110
85 100
86 100
87 100
88 99
89 100
90 100
91 100
92 100
93 120
94 110
95 100
96 100
97 100
98 99
99 100
100 1000
